,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",8887544,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",7630214,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"My Universe",Coldplay,6768788,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
4,"Heat Waves","Glass Animals",4784611,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
5,Pepas,Farruko,4648869,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
6,"Bad Habits","Ed Sheeran",4598353,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
7,Woman,"Doja Cat",4438085,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
8,"THATS WHAT I WANT","Lil Nas X",4319729,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
9,Shivers,"Ed Sheeran",4105821,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
10,Beggin',Måneskin,3889778,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
11,"MONTERO (Call Me By Your Name)","Lil Nas X",3808959,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
12,"good 4 u","Olivia Rodrigo",3689504,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
13,"Way 2 Sexy (with Future & Young Thug)",Drake,3362926,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
14,"Need To Know","Doja Cat",3225721,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
15,"Cold Heart - PNAU Remix","Elton John",2991598,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
16,"Happier Than Ever","Billie Eilish",2922766,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
17,"Kiss Me More (feat. SZA)","Doja Cat",2889843,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
18,"Life Goes On","Oliver Tree",2833009,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
19,"Fair Trade (with Travis Scott)",Drake,2822766,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
20,"love nwantiti (ah ah ah)",CKay,2754020,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
21,Yonaguni,"Bad Bunny",2562763,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
22,"Todo De Ti","Rauw Alejandro",2496306,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
23,Volví,Aventura,2394544,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
24,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,2342741,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
25,"Levitating (feat. DaBaby)","Dua Lipa",2304587,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
26,Butter,BTS,2282570,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
27,"In Da Getto","J Balvin",2239615,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
28,traitor,"Olivia Rodrigo",2236208,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
29,LALISA,LISA,2214203,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
30,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2131183,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
31,"Girls Want Girls (with Lil Baby)",Drake,2129434,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
32,Hurricane,"Kanye West",2101061,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
33,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,2080758,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
34,"Take My Breath","The Weeknd",2075452,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
35,"Meet Me At Our Spot","THE ANXIETY",2050834,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
36,"Qué Más Pues?","J Balvin",2049999,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
37,"Wildest Dreams (Taylor's Version)","Taylor Swift",2000978,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
38,"Blinding Lights","The Weeknd",1979831,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
39,"I WANNA BE YOUR SLAVE",Måneskin,1942276,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
40,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1888901,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
41,"Permission to Dance",BTS,1880876,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
42,"Don't Be Shy",Tiësto,1811351,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
43,"Ley Seca","Jhay Cortez",1799830,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
44,2055,"Sleepy Hallow",1790468,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
45,Cúrame,"Rauw Alejandro",1765753,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
46,"drivers license","Olivia Rodrigo",1755080,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
47,"Get Into It (Yuh)","Doja Cat",1709903,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
48,"Where Are You Now","Lost Frequencies",1692225,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
49,"AM Remix","Nio Garcia",1671522,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
50,MONEY,LISA,1656785,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
51,"Volando - Remix",Mora,1653493,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
52,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",1640995,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
53,Sobrio,Maluma,1624038,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
54,París,Ingratax,1621037,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
55,"family ties (with Kendrick Lamar)","Baby Keem",1612063,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
56,"deja vu","Olivia Rodrigo",1583637,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
57,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,1503549,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
58,"Don't Go Yet","Camila Cabello",1490061,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
59,"Watermelon Sugar","Harry Styles",1485564,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
60,"Love Tonight - Edit",Shouse,1458490,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
61,Dynamite,BTS,1429449,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
62,DÁKITI,"Bad Bunny",1422557,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
63,"Entre Nosotros","Tiago PZK",1402172,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
64,"Leave The Door Open","Bruno Mars",1387083,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
65,"Una Nota","J Balvin",1375701,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
66,"Your Heart","Joyner Lucas",1369154,https://open.spotify.com/track/2DTpP3caqX3QdJIEoS83mD
67,"Sweater Weather","The Neighbourhood",1366012,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
68,"Mood (feat. iann dior)",24kGoldn,1359161,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
69,"Like I Can","Sam Smith",1353474,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq
70,Nostálgico,Rvssian,1341702,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
71,happier,"Olivia Rodrigo",1303986,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
72,SEJODIOTO,"KAROL G",1302270,https://open.spotify.com/track/704LUEih663hiE3CnyUrFW
73,"Dark Red","Steve Lacy",1276423,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
74,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1274620,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
75,Miénteme,TINI,1274211,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
76,"Don't Start Now","Dua Lipa",1273321,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
77,"Pareja Del Año","Sebastian Yatra",1268829,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
78,"Too Easy",Gunna,1241309,https://open.spotify.com/track/4eL3XeuGaEoVT8ttDh3hwY
79,"The Business",Tiësto,1227540,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
80,"Someone You Loved","Lewis Capaldi",1226871,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
81,Freaks,"Surf Curse",1226089,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
82,"Tiroteo - Remix","Marc Seguí",1210412,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
83,"I GUESS I'M IN LOVE","Clinton Kane",1209276,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
84,"Astronaut In The Ocean","Masked Wolf",1200355,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
85,"Butter (feat. Megan Thee Stallion)",BTS,1192209,https://open.spotify.com/track/3JR0ducCexKbeK47g6AHm5
86,"SCOOP (feat. Doja Cat)","Lil Nas X",1190236,https://open.spotify.com/track/6bpq1jGkVz66Q3LYeoXdjZ
87,"Champagne Poetry",Drake,1186452,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk
88,"edamame (feat. Rich Brian)",bbno$,1176660,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV
89,"Have Mercy",Chlöe,1172700,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg
90,"Ain't Shit","Doja Cat",1162255,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
91,"911 - Remix",Sech,1162138,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
92,"Smells Like Teen Spirit",Nirvana,1158852,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
93,"Love Again","Dua Lipa",1154092,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
94,Moon,"Kanye West",1131016,https://open.spotify.com/track/2Rd4eJ4KwXQQn2sMSToyUM
95,"Chosen (feat. Ty Dolla $ign)",Blxst,1130759,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
96,"love nwantiti (feat. ElGrande Toto) - North African Remix",CKay,1128629,https://open.spotify.com/track/1EYeZGTMCjV7uVey5fNWXM
97,"jealousy, jealousy","Olivia Rodrigo",1120811,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
98,"Arranhão - Ao Vivo","Henrique & Juliano",1114219,https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw
99,"Save Your Tears","The Weeknd",1111999,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
100,"Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes",1110195,https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6
101,Loco,"Justin Quiles",1100518,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
102,"favorite crime","Olivia Rodrigo",1092449,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
103,Perfect,"Ed Sheeran",1075283,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
104,"lovely (with Khalid)","Billie Eilish",1063848,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
105,RAPSTAR,"Polo G",1047888,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
106,"Off The Grid","Kanye West",1045653,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs
107,Believer,"Imagine Dragons",1045279,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
108,Yellow,Coldplay,1037255,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
109,"Dance Monkey","Tones And I",1037141,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
110,A-O-K,"Tai Verdes",1037013,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
111,"Bala Love","Mc Anjim",1036166,https://open.spotify.com/track/48Ll1C6qAnP2UjnopQDh4a
112,positions,"Ariana Grande",1035931,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
113,Circles,"Post Malone",1031539,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
114,"Happier Than Ever - Edit","Billie Eilish",1021309,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
115,Bored,"Billie Eilish",1020983,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
116,"Before You Go","Lewis Capaldi",1018902,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
117,"Poblado - Remix","J Balvin",993232,https://open.spotify.com/track/2K1CQMoG2Dy5nmeOYnhoi8
118,"Heartbreak Anniversary",Giveon,983531,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
119,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",983067,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
120,telepatía,"Kali Uchis",972687,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
121,"LOCO - English Ver.",ITZY,971069,https://open.spotify.com/track/01QhKtUc12FGw2wX7dMYvv
122,"double take",dhruv,970550,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
123,"Head & Heart (feat. MNEK)","Joel Corry",969704,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
124,"Shape of You","Ed Sheeran",968286,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
125,"Bohemian Rhapsody - Remastered 2011",Queen,964641,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
126,Arcade,"Duncan Laurence",947019,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
127,"DOLLA SIGN SLIME (feat. Megan Thee Stallion)","Lil Nas X",940632,https://open.spotify.com/track/7zQirOExB0VR8yWUOqYeio
128,"ALMAS GEMELAS","Myke Towers",939667,https://open.spotify.com/track/2KcNrONbZ0hvBPjvrDO2tx
129,"Você Beberia Ou Não Beberia?","Zé Neto & Cristiano",933570,https://open.spotify.com/track/4P7IXYPAkinTdZrBF5bGWp
130,Levitating,"Dua Lipa",930340,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
131,"Quer Voar",Matuê,930189,https://open.spotify.com/track/7aZusA4cWXz3Wv9e9uhavz
132,"Mon Amour - Remix",zzoilo,929065,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
133,"Meu Pedaço de Pecado","João Gomes",928219,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
134,"No Friends In The Industry",Drake,927949,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6
135,"WITHOUT YOU","The Kid LAROI",920782,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
136,"Ela e Ela","Zé Neto & Cristiano",920751,https://open.spotify.com/track/5Yu1AOnIzC1tWRJ4U0uW7u
137,"You Right","Doja Cat",915411,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
138,"A La Antigüita","Calibre 50",911639,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
139,"The Real Slim Shady",Eminem,909722,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
140,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,909080,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
141,Heather,"Conan Gray",906799,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
142,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",899911,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
143,"Botella Tras Botella","Gera MX",895521,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
144,"you broke me first","Tate McRae",894691,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
145,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,893044,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
146,Señorita,"Shawn Mendes",892368,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
147,"Gangsta's Paradise",Coolio,886973,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4
148,"Chega E Senta - Ao Vivo","John Amplificado",884340,https://open.spotify.com/track/2ookQf9qP2qiBuNFnNXyfl
149,"The Nights",Avicii,884034,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
150,"Obsessed With You","Central Cee",883746,https://open.spotify.com/track/4PYfFHKfjYz6dwAtZhBy1z
151,"Counting Stars",OneRepublic,882872,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
152,"Mr. Brightside","The Killers",881653,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
153,"Daddy Issues","The Neighbourhood",879117,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
154,Shallow,"Lady Gaga",877788,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
155,September,"Earth, Wind & Fire",877267,https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw
156,Run,OneRepublic,876769,https://open.spotify.com/track/6KL88T4Ma4ABXqzgUoEwkd
157,"Every Breath You Take","The Police",876528,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
158,goosebumps,"Travis Scott",873899,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
159,"Never Going Home",Kungs,869443,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
160,brutal,"Olivia Rodrigo",867052,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
161,"My Universe - Instrumental",Coldplay,866006,https://open.spotify.com/track/2sp32rIevQhpbo0Z4aQzoe
162,Memories,"Maroon 5",865565,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
163,"Goosebumps - Remix","Travis Scott",865278,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
164,"Jugaste y Sufrí","Eslabon Armado",858925,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
165,"SUN GOES DOWN","Lil Nas X",855489,https://open.spotify.com/track/6btdl1Vl6Ta5lUwUSOFW2H
166,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",855333,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
167,Riptide,"Vance Joy",850662,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
168,"Say You Won't Let Go","James Arthur",849547,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
169,"Take Me To Church",Hozier,847348,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
170,"Talking to the Moon","Bruno Mars",846815,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
171,"Wow Wow (feat. Becky G)","Maria Becerra",846605,https://open.spotify.com/track/4Yip3hds5IHyT7AqoNHfmX
172,"No Role Modelz","J. Cole",846272,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
173,"Roses - Imanbek Remix","SAINt JHN",843306,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
174,"Wake Me Up",Avicii,842950,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
175,"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi",842893,https://open.spotify.com/track/2rOnSn2piaqLAlYjtfUBlY
176,Rasputin,Majestic,838544,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
177,"Dreams - 2004 Remaster","Fleetwood Mac",836374,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
178,2/Catorce,"Rauw Alejandro",835873,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
179,"Another Love","Tom Odell",830789,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
180,"DEAD RIGHT NOW","Lil Nas X",829666,https://open.spotify.com/track/3grVoZ10bm2jUGpo7BxpuF
181,"Love Tonight - David Guetta Remix Edit",Shouse,828446,https://open.spotify.com/track/2prnn41CblB8B4yWACDljP
182,"Wants and Needs (feat. Lil Baby)",Drake,826606,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
183,"For Tonight",Giveon,825097,https://open.spotify.com/track/61Emqg95O9zo1GNOcyxq4Y
184,Dandelions,"Ruth B.",820009,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
185,Loverboy,A-Wall,818507,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP
186,"TALES OF DOMINICA","Lil Nas X",818280,https://open.spotify.com/track/5S4PZ7AuYlYiVIVik3wHUf
187,"Your Love (9PM)",ATB,817468,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
188,"bad guy","Billie Eilish",813823,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
189,"7 rings","Ariana Grande",812994,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
190,"Motley Crew","Post Malone",812627,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
191,"Nota de Repúdio - Ao Vivo","Gusttavo Lima",812214,https://open.spotify.com/track/3agFBAMPiIvzfTh7a9Udm6
192,Hawái,Maluma,812041,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
193,"She Knows (feat. Amber Coffman & Cults)","J. Cole",807986,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
194,"Hold On","Justin Bieber",806503,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
195,"Fiel - Remix",Wisin,803347,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
196,"Wonderwall - Remastered",Oasis,802122,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
197,"All of Me","John Legend",800705,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
198,"Without Me",Eminem,796688,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
199,"Adore You","Harry Styles",795080,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
200,"Sexo Virtual","Rauw Alejandro",793849,https://open.spotify.com/track/0giiXonRhODYy4J1iy4Lb3
